#           x                  Y_DM                       Y_eq_DM                  Y_Partner                       Y_eq_Partner
9.009009009009009139e-01   3.642716980963904561e-03   3.642716980963904561e-03   1.085998217634035271e-02   1.085998217634035271e-02
9.009009009017427960e-01   3.642716980963829967e-03   3.642716980962848114e-03   1.085998217633779572e-02   1.085998217633709836e-02
9.009009009025846781e-01   3.642716980963670373e-03   3.642716980961789933e-03   1.085998217633460036e-02   1.085998217633383188e-02
9.009009009110034993e-01   3.642716980957944051e-03   3.642716980951211155e-03   1.085998217630201532e-02   1.085998217630122081e-02
9.009009009194223205e-01   3.642716980949674190e-03   3.642716980940636281e-03   1.085998217626942160e-02   1.085998217626861322e-02
9.009009010036105325e-01   3.642716980845972421e-03   3.642716980834867155e-03   1.085998217594334216e-02   1.085998217594251816e-02
9.009009010877987444e-01   3.642716980740072757e-03   3.642716980729098462e-03   1.085998217561724537e-02   1.085998217561642137e-02
9.009009019296808640e-01   3.642716979682332056e-03   3.642716979671415008e-03   1.085998217235628269e-02   1.085998217235545869e-02
9.009009027715629836e-01   3.642716978624645999e-03   3.642716978613727216e-03   1.085998216909531133e-02   1.085998216909448907e-02
9.009009111903841793e-01   3.642716968047788901e-03   3.642716968036870118e-03   1.085998213648566198e-02   1.085998213648483798e-02
9.009009196092053751e-01   3.642716957470929634e-03   3.642716957460010851e-03   1.085998210387600048e-02   1.085998210387517822e-02
9.009010037974173324e-01   3.642716851702342603e-03   3.642716851691423386e-03   1.085998177777945661e-02   1.085998177777863262e-02
9.009010879856292897e-01   3.642716745933751669e-03   3.642716745922832886e-03   1.085998145168290407e-02   1.085998145168208182e-02
9.009019298677488630e-01   3.642715688247621150e-03   3.642715688236701933e-03   1.085997819071669694e-02   1.085997819071587468e-02
9.009027717498684362e-01   3.642714630561109859e-03   3.642714630550190642e-03   1.085997492974937091e-02   1.085997492974854692e-02
9.009111905710641688e-01   3.642704053674902711e-03   3.642704053663983494e-03   1.085994232001367618e-02   1.085994232001285392e-02
9.009196093922599013e-01   3.642693476750365113e-03   3.642693476739445463e-03   1.085990971016460686e-02   1.085990971016378287e-02
9.009615861800688297e-01   3.642640738947444841e-03   3.642640738936524757e-03   1.085974711365289558e-02   1.085974711365207158e-02
9.010035629678777580e-01   3.642588000191638361e-03   3.642588000180717409e-03   1.085958451432283284e-02   1.085958451432200884e-02
9.010692441253695950e-01   3.642505477851247161e-03   3.642505477840324475e-03   1.085933008919632257e-02   1.085933008919549858e-02
9.011349252828614320e-01   3.642422953178648618e-03   3.642422953167725064e-03   1.085907565717197758e-02   1.085907565717115358e-02
9.012006064403532690e-01   3.642340426174297228e-03   3.642340426163372374e-03   1.085882121825119430e-02   1.085882121825037031e-02
9.018574180152716391e-01   3.641515027983121579e-03   3.641515027972183714e-03   1.085627645004859886e-02   1.085627645004777486e-02
9.025142295901900091e-01   3.640689397110613394e-03   3.640689397099662519e-03   1.085373099374757448e-02   1.085373099374674875e-02
9.031710411651083792e-01   3.639863534005682681e-03   3.639863533994719229e-03   1.085118485075172064e-02   1.085118485075089317e-02
9.038278527400267492e-01   3.639037439116952783e-03   3.639037439105976320e-03   1.084863802246370697e-02   1.084863802246287950e-02
9.096997785973108819e-01   3.631641886481488599e-03   3.631641886470371190e-03   1.082583903752759244e-02   1.082583903752664008e-02
9.155717044545950145e-01   3.624228163645416400e-03   3.624228163633640663e-03   1.080298639072392944e-02   1.080298639072059010e-02
9.214436303118791471e-01   3.616796588046890942e-03   3.616796588035510723e-03   1.078008107415665516e-02   1.078008107415551718e-02
9.273155561691632798e-01   3.609347475258849799e-03   3.609347475247289168e-03   1.075712407387040270e-02   1.075712407386894554e-02
9.387282134721907090e-01   3.594820413591470840e-03   3.594820413579713752e-03   1.071236075169699348e-02   1.071236075169567162e-02
9.501408707752181382e-01   3.580230570387685652e-03   3.580230570375589425e-03   1.066741301659689979e-02   1.066741301659524487e-02
9.615535280782455674e-01   3.565580201973472720e-03   3.565580201961322717e-03   1.062228791126862415e-02   1.062228791126808292e-02
9.729661853812729966e-01   3.550871537988808599e-03   3.550871537976525889e-03   1.057699239184425877e-02   1.057699239184429346e-02
9.843788426843004258e-01   3.536106781399589796e-03   3.536106781387209942e-03   1.053153332798114489e-02   1.053153332798186653e-02
1.009161324742856358e+00   3.503862478061219032e-03   3.503862478048471417e-03   1.043228858625058243e-02   1.043228858625131622e-02
1.033943806801412180e+00   3.471385752820659552e-03   3.471385752807037203e-03   1.033237259105538978e-02   1.033237259105431252e-02
1.058726288859968001e+00   3.438697868594316372e-03   3.438697868580209167e-03   1.023185149588663051e-02   1.023185149588567641e-02
1.083508770918523823e+00   3.405819501982598752e-03   3.405819501968192307e-03   1.013078956077738402e-02   1.013078956077740310e-02
1.108291252977079644e+00   3.372770747193633550e-03   3.372770747178500689e-03   1.002924916731198421e-02   1.002924916731112205e-02
1.133073735035635465e+00   3.339571120681031520e-03   3.339571120665481892e-03   9.927290835844140501e-03   9.927290835843807434e-03
1.153867730947067738e+00   3.311612078233027931e-03   3.311612078217060235e-03   9.841462092733982425e-03   9.841462092733777728e-03
1.174661726858500010e+00   3.283571048070226938e-03   3.283571048053758341e-03   9.755414126684411671e-03   9.755414126683827070e-03
1.195455722769932283e+00   3.255458634476738212e-03   3.255458634460031524e-03   9.669179716602851679e-03   9.669179716603384239e-03
1.216249718681364556e+00   3.227285166337361295e-03   3.227285166320092123e-03   9.582790757980984286e-03   9.582790757981010307e-03
1.237043714592796828e+00   3.199060700092550870e-03   3.199060700074993300e-03   9.496278273188947516e-03   9.496278273189693447e-03
1.257837710504229101e+00   3.170795022833915004e-03   3.170795022816033475e-03   9.409672422200239181e-03   9.409672422201642572e-03
1.280744182363169559e+00   3.139621499019155416e-03   3.139621499000089504e-03   9.314195198601249101e-03   9.314195198599635808e-03
1.303650654222110017e+00   3.108421872116998077e-03   3.108421872097579582e-03   9.218678223226070556e-03   9.218678223225038396e-03
1.326557126081050475e+00   3.077208119227342956e-03   3.077208119207773540e-03   9.123158278572702368e-03   9.123158278573025026e-03
1.349463597939990933e+00   3.045991841736808356e-03   3.045991841716231933e-03   9.027670948768780346e-03   9.027670948767328382e-03
1.372370069798931391e+00   3.014784271172813758e-03   3.014784271151783705e-03   8.932250639403458217e-03   8.932250639402280340e-03
1.395276541657871849e+00   2.983596275182644718e-03   2.983596275161196163e-03   8.836930597716653735e-03   8.836930597715876579e-03
1.423637372121036249e+00   2.945024778196093582e-03   2.945024778174360532e-03   8.719100333072516210e-03   8.719100333072996728e-03
1.451998202584200648e+00   2.906518576226128740e-03   2.906518576203481058e-03   8.601531490604618496e-03   8.601531490604311450e-03
1.480359033047365047e+00   2.868096062851206978e-03   2.868096062827952576e-03   8.484280079671507532e-03   8.484280079671334060e-03
1.508719863510529446e+00   2.829774841820447296e-03   2.829774841796669008e-03   8.367399606246864532e-03   8.367399606247084842e-03
1.537080693973693846e+00   2.791571745524209711e-03   2.791571745499700236e-03   8.250941134391898135e-03   8.250941134391629253e-03
1.565441524436858245e+00   2.753502853551941486e-03   2.753502853526662228e-03   8.134953347860773495e-03   8.134953347859791642e-03
