#           x                  Y_DM                       Y_eq_DM                  Y_Coannihilator                       Y_eq_Coannihilator
1.000000000000000000e+00   3.515810437962204552e-03   3.515810437962204552e-03   1.046905811274588018e-02   1.046905811274588018e-02
1.000000000000884848e+00   3.515810437961461657e-03   3.515810437961052262e-03   1.046905811274332493e-02   1.046905811274232920e-02
1.000000000001769696e+00   3.515810437960392634e-03   3.515810437959899972e-03   1.046905811273996824e-02   1.046905811273878863e-02
1.000000000010618173e+00   3.515810437948881876e-03   3.515810437948376204e-03   1.046905811270452263e-02   1.046905811270331527e-02
1.000000000019466651e+00   3.515810437937352036e-03   3.515810437936851569e-03   1.046905811266904754e-02   1.046905811266785058e-02
1.000000000107951426e+00   3.515810437822109152e-03   3.515810437821608684e-03   1.046905811231435904e-02   1.046905811231316208e-02
1.000000000196436201e+00   3.515810437706866267e-03   3.515810437706365799e-03   1.046905811195967748e-02   1.046905811195848225e-02
1.000000001081283951e+00   3.515810436554440022e-03   3.515810436553939555e-03   1.046905810841282369e-02   1.046905810841162673e-02
1.000000001966131702e+00   3.515810435402012043e-03   3.515810435401512009e-03   1.046905810486597511e-02   1.046905810486477989e-02
1.000000010814609208e+00   3.515810423877747427e-03   3.515810423877246960e-03   1.046905806939746157e-02   1.046905806939626461e-02
1.000000019663086714e+00   3.515810412353480643e-03   3.515810412352980176e-03   1.046905803392895323e-02   1.046905803392775801e-02
1.000000108147861777e+00   3.515810297110823213e-03   3.515810297110322745e-03   1.046905767924383342e-02   1.046905767924263646e-02
1.000000196632636840e+00   3.515810181868164047e-03   3.515810181867663579e-03   1.046905732455870840e-02   1.046905732455751144e-02
1.000001081480387466e+00   3.515809029441395017e-03   3.515809029440894549e-03   1.046905377770694992e-02   1.046905377770575470e-02
1.000001966328138092e+00   3.515807877014315904e-03   3.515807877013815436e-03   1.046905023085430500e-02   1.046905023085310804e-02
1.000010814805644355e+00   3.515796352726687987e-03   3.515796352726187519e-03   1.046901476227906497e-02   1.046901476227786974e-02
1.000019663283150617e+00   3.515784828408418348e-03   3.515784828407917881e-03   1.046897929361509556e-02   1.046897929361390034e-02
