# x         Y_DM           Y_eq_DM         Y_Coannihilator           Y_eq_Coannihilator
1.000000000000000000e+00 5.273715656943307045e-03 5.273715656943307045e-03 1.736094191683461513e-03 1.736094191683461513e-03
1.000000000007242429e+00 5.273715656937853075e-03 5.273715656929158641e-03 1.736094191680362647e-03 1.736094191678542488e-03
1.000000000014484858e+00 5.273715656928918381e-03 5.273715656915009369e-03 1.736094191675564185e-03 1.736094191673623246e-03
1.000000000086909147e+00 5.273715656799430815e-03 5.273715656773522720e-03 1.736094191622751179e-03 1.736094191624429741e-03
1.000000000159333435e+00 5.273715656660325941e-03 5.273715656632033469e-03 1.736094191572302384e-03 1.736094191575236236e-03
1.000000000883576323e+00 5.273715655246060535e-03 5.273715655217150501e-03 1.736094191080034266e-03 1.736094191083300100e-03
1.000000001607819211e+00 5.273715653831018840e-03 5.273715653802269268e-03 1.736094190588173157e-03 1.736094190591363313e-03
1.000000008850248090e+00 5.273715639682183959e-03 5.273715639653449999e-03 1.736094185668816785e-03 1.736094185672000219e-03
1.000000016092676969e+00 5.273715625533362955e-03 5.273715625504628128e-03 1.736094180749454124e-03 1.736094180752637776e-03
1.000000088516965757e+00 5.273715484045172000e-03 5.273715484016437173e-03 1.736094131555823619e-03 1.736094131559007487e-03
1.000000160941254546e+00 5.273715342556968902e-03 5.273715342528234075e-03 1.736094082362191595e-03 1.736094082365375680e-03
1.000000885184142430e+00 5.273713927674813021e-03 5.273713927646077326e-03 1.736093590425828856e-03 1.736093590429012940e-03
1.000001609427030314e+00 5.273712512792344889e-03 5.273712512763609195e-03 1.736093098489368321e-03 1.736093098492552190e-03
1.000008851855909153e+00 5.273698363950744816e-03 5.273698363922009122e-03 1.736088179119458196e-03 1.736088179122642280e-03
1.000016094284787993e+00 5.273684215078351667e-03 5.273684215049615105e-03 1.736083259739899538e-03 1.736083259743083623e-03
1.000085460323042019e+00 5.273548699419709079e-03 5.273548699390965579e-03 1.736036142755262735e-03 1.736036142758447687e-03
1.000154826361296045e+00 5.273413180937087594e-03 5.273413180908336287e-03 1.735989024885771894e-03 1.735989024888957713e-03
1.000259341169535965e+00 5.273208987957397030e-03 5.273208987928636182e-03 1.735918030043182708e-03 1.735918030046370696e-03
1.000363855977775884e+00 5.273004788570816691e-03 5.273004788542045435e-03 1.735847033193250446e-03 1.735847033196439735e-03
1.000468370786015804e+00 5.272800582779788199e-03 5.272800582751006535e-03 1.735776034336841168e-03 1.735776034340032192e-03
1.001513518868414998e+00 5.270758173163692106e-03 5.270758173134806358e-03 1.735065935607443778e-03 1.735065935610650414e-03
1.002558666950814192e+00 5.268715125795082888e-03 5.268715125766093056e-03 1.734355637184415615e-03 1.734355637187638081e-03
1.003603815033213387e+00 5.266671443118415771e-03 5.266671443089320989e-03 1.733645139933986511e-03 1.733645139937224806e-03
1.004648963115612581e+00 5.264627127575340071e-03 5.264627127546140338e-03 1.732934444721329417e-03 1.732934444724583542e-03
1.011690990480030861e+00 5.250836569599444045e-03 5.250836569568861738e-03 1.728140808059838631e-03 1.728140808063115090e-03
1.018733017844449140e+00 5.237018133501608608e-03 5.237018133470278634e-03 1.723338486369784548e-03 1.723338486373230576e-03
1.025775045208867420e+00 5.223172556220861788e-03 5.223172556186849932e-03 1.718527740550098099e-03 1.718527740553573617e-03
1.032817072573285699e+00 5.209300568932974558e-03 5.209300568900314919e-03 1.713708829330333775e-03 1.713708829334056058e-03
1.045618375368826403e+00 5.184018188139625713e-03 5.184018188107943591e-03 1.704928725094505141e-03 1.704928725098522543e-03
1.058419678164367106e+00 5.158655236950427866e-03 5.158655236916304121e-03 1.696124007289928235e-03 1.696124007294167466e-03
1.071220980959907809e+00 5.133215962220223638e-03 5.133215962185152734e-03 1.687296175415351320e-03 1.687296175419966552e-03
1.084022283755448512e+00 5.107704548600965240e-03 5.107704548565789385e-03 1.678446705603844989e-03 1.678446705608792420e-03
1.096823586550989216e+00 5.082125118786603654e-03 5.082125118747956617e-03 1.669577050739454735e-03 1.669577050744429272e-03
1.125416338068995437e+00 5.024766357295172570e-03 5.024766357253137618e-03 1.649700312011130078e-03 1.649700312016765327e-03
1.154009089587001657e+00 4.967132577773097565e-03 4.967132577725350169e-03 1.629745486289644555e-03 1.629745486295973260e-03
1.182601841105007878e+00 4.909266418372169177e-03 4.909266418321104122e-03 1.609727528261309729e-03 1.609727528268418625e-03
1.211194592623014099e+00 4.851209025613764138e-03 4.851209025557855735e-03 1.589660836540513194e-03 1.589660836548442832e-03
1.239787344141020320e+00 4.793000075274822351e-03 4.793000075212475522e-03 1.569559262644097761e-03 1.569559262653132418e-03
1.268380095659026541e+00 4.734677794758949260e-03 4.734677794691731327e-03 1.549436120459826965e-03 1.549436120469922405e-03
1.296306680268853428e+00 4.677640191355283451e-03 4.677640191281967098e-03 1.529773245814660190e-03 1.529773245825911390e-03
1.324233264878680316e+00 4.620562590363002341e-03 4.620562590284674372e-03 1.510113431840874034e-03 1.510113431853280994e-03
1.352159849488507204e+00 4.563476741014719541e-03 4.563476740927232232e-03 1.490467653450102932e-03 1.490467653464225316e-03
1.380086434098334092e+00 4.506413164935033425e-03 4.506413164840310584e-03 1.470846433594427986e-03 1.470846433610136124e-03
1.408013018708160979e+00 4.449401180293520094e-03 4.449401180192537504e-03 1.451259853029499133e-03 1.451259853046776979e-03
1.435939603317987867e+00 4.392468926422979196e-03 4.392468926311949955e-03 1.431717560217922501e-03 1.431717560237252308e-03
