#  x                Yeq
  1.00000000E+00  5.10518245E-03
  2.00000000E+00  3.85349702E-03
  3.00000000E+00  2.17338568E-03
  4.00000000E+00  1.08558142E-03
  5.00000000E+00  5.05566664E-04
  6.00000000E+00  2.25250533E-04
  7.00000000E+00  9.73136160E-05
  8.00000000E+00  4.10977626E-05
  9.00000000E+00  1.70525112E-05
  1.00000000E+01  6.97502072E-06
  1.10000000E+01  2.81924769E-06
  1.20000000E+01  1.12805351E-06
  1.30000000E+01  4.47446602E-07
  1.40000000E+01  1.76134386E-07
  1.50000000E+01  6.88703440E-08
  1.60000000E+01  2.67687741E-08
  1.70000000E+01  1.03490114E-08
  1.80000000E+01  3.98179657E-09
  1.90000000E+01  1.52531845E-09
  2.00000000E+01  5.81993205E-10
  2.10000000E+01  2.21257514E-10
  2.20000000E+01  8.38359829E-11
  2.30000000E+01  3.16686922E-11
  2.40000000E+01  1.19288874E-11
  2.50000000E+01  4.48157195E-12
  2.60000000E+01  1.67959653E-12
  2.70000000E+01  6.28048080E-13
  2.80000000E+01  2.34348499E-13
  2.90000000E+01  8.72718339E-14
  3.00000000E+01  3.24398666E-14
  3.10000000E+01  1.20373300E-14
  3.20000000E+01  4.45933416E-15
  3.30000000E+01  1.64945159E-15
  3.40000000E+01  6.09226040E-16
  3.50000000E+01  2.24708800E-16
  3.60000000E+01  8.27743370E-17
  3.70000000E+01  3.04535086E-17
  3.80000000E+01  1.11910907E-17
  3.90000000E+01  4.10793009E-18
  4.00000000E+01  1.50631427E-18
  4.10000000E+01  5.51787850E-19
  4.20000000E+01  2.01935574E-19
  4.30000000E+01  7.38341298E-20
  4.40000000E+01  2.69726314E-20
  4.50000000E+01  9.84528540E-21
  4.60000000E+01  3.59077348E-21
  4.70000000E+01  1.30863144E-21
  4.80000000E+01  4.76574567E-22
  4.90000000E+01  1.73437150E-22
  5.00000000E+01  6.30755681E-23
  5.10000000E+01  2.29246003E-23
  5.20000000E+01  8.32675791E-24
  5.30000000E+01  3.02269301E-24
  5.40000000E+01  1.09664439E-24
  5.50000000E+01  3.97650192E-25
  5.60000000E+01  1.44113941E-25
  5.70000000E+01  5.22025915E-26
  5.80000000E+01  1.89002628E-26
  5.90000000E+01  6.83975289E-27
  6.00000000E+01  2.47408595E-27
  6.10000000E+01  8.94540780E-28
  6.20000000E+01  3.23298527E-28
  6.30000000E+01  1.16796804E-28
  6.40000000E+01  4.21779461E-29
  6.50000000E+01  1.52256947E-29
  6.60000000E+01  5.49426663E-30
  6.70000000E+01  1.98191349E-30
  6.80000000E+01  7.14678558E-31
  6.90000000E+01  2.57629170E-31
  7.00000000E+01  9.28406202E-32
  7.10000000E+01  3.34461956E-32
  7.20000000E+01  1.20454290E-32
  7.30000000E+01  4.33681290E-33
  7.40000000E+01  1.56097368E-33
  7.50000000E+01  5.61692016E-34
  7.60000000E+01  2.02062448E-34
  7.70000000E+01  7.26703795E-35
  7.80000000E+01  2.61288167E-35
  7.90000000E+01  9.39234155E-36
  8.00000000E+01  3.37538490E-36
  8.10000000E+01  1.21274914E-36
  8.20000000E+01  4.35630756E-37
  8.30000000E+01  1.56448110E-37
  8.40000000E+01  5.61728393E-38
  8.50000000E+01  2.01647039E-38
  8.60000000E+01  7.23712316E-39
  8.70000000E+01  2.59689287E-39
  8.80000000E+01  9.31654755E-40
  8.90000000E+01  3.34175001E-40
  9.00000000E+01  1.19842237E-40
  9.10000000E+01  4.29702088E-41
  9.20000000E+01  1.54044390E-41
  9.30000000E+01  5.52139945E-42
  9.40000000E+01  1.97868697E-42
  9.50000000E+01  7.08977974E-43
  9.60000000E+01  2.53989997E-43
  9.70000000E+01  9.09768517E-44
  9.80000000E+01  3.25819329E-44
  9.90000000E+01  1.16669007E-44
  1.00000000E+02  4.17704668E-45
