#  x                Yeq
  1.00000000E+00  3.45870083E-03
  2.00000000E+00  2.69455069E-03
  3.00000000E+00  1.57680164E-03
  4.00000000E+00  8.19049106E-04
  5.00000000E+00  3.97244062E-04
  6.00000000E+00  1.84358323E-04
  7.00000000E+00  8.30228288E-05
  8.00000000E+00  3.65592045E-05
  9.00000000E+00  1.58201939E-05
  1.00000000E+01  6.74962987E-06
  1.10000000E+01  2.84595804E-06
  1.20000000E+01  1.18802127E-06
  1.30000000E+01  4.91660449E-07
  1.40000000E+01  2.01939853E-07
  1.50000000E+01  8.23917499E-08
  1.60000000E+01  3.34171832E-08
  1.70000000E+01  1.34816701E-08
  1.80000000E+01  5.41301001E-09
  1.90000000E+01  2.16393873E-09
  2.00000000E+01  8.61658910E-10
  2.10000000E+01  3.41865874E-10
  2.20000000E+01  1.35186934E-10
  2.30000000E+01  5.32949943E-11
  2.40000000E+01  2.09514027E-11
  2.50000000E+01  8.21494566E-12
  2.60000000E+01  3.21324808E-12
  2.70000000E+01  1.25400869E-12
  2.80000000E+01  4.88361302E-13
  2.90000000E+01  1.89813601E-13
  3.00000000E+01  7.36391768E-14
  3.10000000E+01  2.85193038E-14
  3.20000000E+01  1.10270590E-14
  3.30000000E+01  4.25708231E-15
  3.40000000E+01  1.64110144E-15
  3.50000000E+01  6.31775978E-16
  3.60000000E+01  2.42899282E-16
  3.70000000E+01  9.32731557E-17
  3.80000000E+01  3.57751767E-17
  3.90000000E+01  1.37064056E-17
  4.00000000E+01  5.24575904E-18
  4.10000000E+01  2.00566346E-18
  4.20000000E+01  7.66113027E-19
  4.30000000E+01  2.92369526E-19
  4.40000000E+01  1.11479234E-19
  4.50000000E+01  4.24712866E-20
  4.60000000E+01  1.61678494E-20
  4.70000000E+01  6.15006036E-21
  4.80000000E+01  2.33771346E-21
  4.90000000E+01  8.87976563E-22
  5.00000000E+01  3.37069951E-22
  5.10000000E+01  1.27867636E-22
  5.20000000E+01  4.84769489E-23
  5.30000000E+01  1.83676801E-23
  5.40000000E+01  6.95548524E-24
  5.50000000E+01  2.63247686E-24
  5.60000000E+01  9.95798557E-25
  5.70000000E+01  3.76495731E-25
  5.80000000E+01  1.42278303E-25
  5.90000000E+01  5.37420722E-26
  6.00000000E+01  2.02904768E-26
  6.10000000E+01  7.65740087E-27
  6.20000000E+01  2.88861070E-27
  6.30000000E+01  1.08923244E-27
  6.40000000E+01  4.10562812E-28
  6.50000000E+01  1.54694943E-28
  6.60000000E+01  5.82658091E-29
  6.70000000E+01  2.19378477E-29
  6.80000000E+01  8.25706230E-30
  6.90000000E+01  3.10681601E-30
  7.00000000E+01  1.16859606E-30
  7.10000000E+01  4.39419355E-31
  7.20000000E+01  1.65181338E-31
  7.30000000E+01  6.20748699E-32
  7.40000000E+01  2.33210071E-32
  7.50000000E+01  8.75904423E-33
  7.60000000E+01  3.28890234E-33
  7.70000000E+01  1.23461015E-33
  7.80000000E+01  4.63339523E-34
  7.90000000E+01  1.73844440E-34
  8.00000000E+01  6.52105233E-35
  8.10000000E+01  2.44552969E-35
  8.20000000E+01  9.16913146E-36
  8.30000000E+01  3.43706548E-36
  8.40000000E+01  1.28810657E-36
  8.50000000E+01  4.82642219E-37
  8.60000000E+01  1.80803806E-37
  8.70000000E+01  6.77179632E-38
  8.80000000E+01  2.53578953E-38
  8.90000000E+01  9.49381139E-39
  9.00000000E+01  3.55373534E-39
  9.10000000E+01  1.32999884E-39
  9.20000000E+01  4.97666484E-40
  9.30000000E+01  1.86187476E-40
  9.40000000E+01  6.96445703E-41
  9.50000000E+01  2.60466493E-41
  9.60000000E+01  9.73968158E-42
  9.70000000E+01  3.64139800E-42
  9.80000000E+01  1.36120414E-42
  9.90000000E+01  5.08757890E-43
  1.00000000E+02  1.90122839E-43
