#  x                Yeq
  1.00000000E+00  9.31772792E-04
  2.00000000E+00  6.90627301E-04
  3.00000000E+00  3.88717633E-04
  4.00000000E+00  1.94663052E-04
  5.00000000E+00  9.11962682E-05
  6.00000000E+00  4.09741079E-05
  7.00000000E+00  1.78737446E-05
  8.00000000E+00  7.62555128E-06
  9.00000000E+00  3.19655988E-06
  1.00000000E+01  1.32078124E-06
  1.10000000E+01  5.39169539E-07
  1.20000000E+01  2.17839758E-07
  1.30000000E+01  8.72308046E-08
  1.40000000E+01  3.46587491E-08
  1.50000000E+01  1.36761014E-08
  1.60000000E+01  5.36352687E-09
  1.70000000E+01  2.09199357E-09
  1.80000000E+01  8.11953734E-10
  1.90000000E+01  3.13737453E-10
  2.00000000E+01  1.20737997E-10
  2.10000000E+01  4.62936657E-11
  2.20000000E+01  1.76902677E-11
  2.30000000E+01  6.73910581E-12
  2.40000000E+01  2.55995336E-12
  2.50000000E+01  9.69883113E-13
  2.60000000E+01  3.66560429E-13
  2.70000000E+01  1.38225539E-13
  2.80000000E+01  5.20136918E-14
  2.90000000E+01  1.95339945E-14
  3.00000000E+01  7.32264337E-15
  3.10000000E+01  2.74028348E-15
  3.20000000E+01  1.02381942E-15
  3.30000000E+01  3.81936732E-16
  3.40000000E+01  1.42278283E-16
  3.50000000E+01  5.29299703E-17
  3.60000000E+01  1.96658196E-17
  3.70000000E+01  7.29793404E-18
  3.80000000E+01  2.70516072E-18
  3.90000000E+01  1.00165621E-18
  4.00000000E+01  3.70510280E-19
  4.10000000E+01  1.36917832E-19
  4.20000000E+01  5.05496173E-20
  4.30000000E+01  1.86463493E-20
  4.40000000E+01  6.87236464E-21
  4.50000000E+01  2.53088222E-21
  4.60000000E+01  9.31336440E-22
  4.70000000E+01  3.42471682E-22
  4.80000000E+01  1.25846388E-22
  4.90000000E+01  4.62134017E-23
  5.00000000E+01  1.69597183E-23
  5.10000000E+01  6.22019877E-24
  5.20000000E+01  2.28000418E-24
  5.30000000E+01  8.35261772E-25
  5.40000000E+01  3.05826635E-25
  5.50000000E+01  1.11918488E-25
  5.60000000E+01  4.09366658E-26
  5.70000000E+01  1.49662720E-26
  5.80000000E+01  5.46905387E-27
  5.90000000E+01  1.99765025E-27
  6.00000000E+01  7.29357631E-28
  6.10000000E+01  2.66183736E-28
  6.20000000E+01  9.71065396E-29
  6.30000000E+01  3.54116681E-29
  6.40000000E+01  1.29086979E-29
  6.50000000E+01  4.70393477E-30
  6.60000000E+01  1.71351015E-30
  6.70000000E+01  6.23972418E-31
  6.80000000E+01  2.27143951E-31
  6.90000000E+01  8.26604035E-32
  7.00000000E+01  3.00718379E-32
  7.10000000E+01  1.09368385E-32
  7.20000000E+01  3.97645928E-33
  7.30000000E+01  1.44536871E-33
  7.40000000E+01  5.25218740E-34
  7.50000000E+01  1.90803239E-34
  7.60000000E+01  6.92975691E-35
  7.70000000E+01  2.51616828E-35
  7.80000000E+01  9.13386170E-36
  7.90000000E+01  3.31484913E-36
  8.00000000E+01  1.20274037E-36
  8.10000000E+01  4.36294526E-37
  8.20000000E+01  1.58230864E-37
  8.30000000E+01  5.73730094E-38
  8.40000000E+01  2.07984917E-38
  8.50000000E+01  7.53816758E-39
  8.60000000E+01  2.73156504E-39
  8.70000000E+01  9.89626450E-40
  8.80000000E+01  3.58464969E-40
  8.90000000E+01  1.29819513E-40
  9.00000000E+01  4.70059278E-41
  9.10000000E+01  1.70171389E-41
  9.20000000E+01  6.15947191E-42
  9.30000000E+01  2.22907501E-42
  9.40000000E+01  8.06552241E-43
  9.50000000E+01  2.91787849E-43
  9.60000000E+01  1.05543622E-43
  9.70000000E+01  3.81703431E-44
  9.80000000E+01  1.38023547E-44
  9.90000000E+01  4.99013672E-45
  1.00000000E+02  1.80387770E-45
