#  x                Yeq
  1.00000000E+00  2.83043673E-03
  2.00000000E+00  2.15004513E-03
  3.00000000E+00  1.24530877E-03
  4.00000000E+00  6.42903269E-04
  5.00000000E+00  3.10865751E-04
  6.00000000E+00  1.44163261E-04
  7.00000000E+00  6.49498396E-05
  8.00000000E+00  2.86253767E-05
  9.00000000E+00  1.23979808E-05
  1.00000000E+01  5.29345174E-06
  1.10000000E+01  2.23312177E-06
  1.20000000E+01  9.32466708E-07
  1.30000000E+01  3.85921478E-07
  1.40000000E+01  1.58487085E-07
  1.50000000E+01  6.46413954E-08
  1.60000000E+01  2.62046924E-08
  1.70000000E+01  1.05652507E-08
  1.80000000E+01  4.23887476E-09
  1.90000000E+01  1.69314110E-09
  2.00000000E+01  6.73573184E-10
  2.10000000E+01  2.66982072E-10
  2.20000000E+01  1.05467721E-10
  2.30000000E+01  4.15352068E-11
  2.40000000E+01  1.63109365E-11
  2.50000000E+01  6.38855065E-12
  2.60000000E+01  2.49613237E-12
  2.70000000E+01  9.73087922E-13
  2.80000000E+01  3.78552063E-13
  2.90000000E+01  1.46975620E-13
  3.00000000E+01  5.69600511E-14
  3.10000000E+01  2.20367726E-14
  3.20000000E+01  8.51191883E-15
  3.30000000E+01  3.28283168E-15
  3.40000000E+01  1.26430023E-15
  3.50000000E+01  4.86260383E-16
  3.60000000E+01  1.86782444E-16
  3.70000000E+01  7.16608139E-17
  3.80000000E+01  2.74620930E-17
  3.90000000E+01  1.05128119E-17
  4.00000000E+01  4.02032289E-18
  4.10000000E+01  1.53596710E-18
  4.20000000E+01  5.86275451E-19
  4.30000000E+01  2.23583758E-19
  4.40000000E+01  8.51953410E-20
  4.50000000E+01  3.24373509E-20
  4.60000000E+01  1.23408300E-20
  4.70000000E+01  4.69166808E-21
  4.80000000E+01  1.78241440E-21
  4.90000000E+01  6.76708487E-22
  5.00000000E+01  2.56754758E-22
  5.10000000E+01  9.73577896E-23
  5.20000000E+01  3.68951293E-23
  5.30000000E+01  1.39740824E-23
  5.40000000E+01  5.28985343E-24
  5.50000000E+01  2.00141946E-24
  5.60000000E+01  7.56862530E-25
  5.70000000E+01  2.86079479E-25
  5.80000000E+01  1.08082176E-25
  5.90000000E+01  4.08159955E-26
  6.00000000E+01  1.54070955E-26
  6.10000000E+01  5.81341458E-27
  6.20000000E+01  2.19264345E-27
  6.30000000E+01  8.26677064E-28
  6.40000000E+01  3.11560296E-28
  6.50000000E+01  1.17379247E-28
  6.60000000E+01  4.42066139E-29
  6.70000000E+01  1.66431941E-29
  6.80000000E+01  6.26387879E-30
  6.90000000E+01  2.35673490E-30
  7.00000000E+01  8.86429868E-31
  7.10000000E+01  3.33309392E-31
  7.20000000E+01  1.25292125E-31
  7.30000000E+01  4.70844503E-32
  7.40000000E+01  1.76893069E-32
  7.50000000E+01  6.64397852E-33
  7.60000000E+01  2.49478125E-33
  7.70000000E+01  9.36539853E-34
  7.80000000E+01  3.51490207E-34
  7.90000000E+01  1.31884844E-34
  8.00000000E+01  4.94738196E-35
  8.10000000E+01  1.85547815E-35
  8.20000000E+01  6.95728670E-36
  8.30000000E+01  2.60812887E-36
  8.40000000E+01  9.77520918E-37
  8.50000000E+01  3.66296607E-37
  8.60000000E+01  1.37230809E-37
  8.70000000E+01  5.14025216E-38
  8.80000000E+01  1.92500995E-38
  8.90000000E+01  7.20774539E-39
  9.00000000E+01  2.69826975E-39
  9.10000000E+01  1.00993314E-39
  9.20000000E+01  3.77940098E-40
  9.30000000E+01  1.41409196E-40
  9.40000000E+01  5.29004068E-41
  9.50000000E+01  1.97864241E-41
  9.60000000E+01  7.39955781E-42
  9.70000000E+01  2.76677317E-42
  9.80000000E+01  1.03436651E-42
  9.90000000E+01  3.86640675E-43
  1.00000000E+02  1.44502735E-43
