# x,Y(xd),D(xd -> xd),C(xdxdx_ddx),C(xdxdx_uux),C(xdxdx_ssx),C(xdxdx_ccx),C(xdxdx_bbx),C(xdxdx_ttx)
6.5000e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
6.5905e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
6.6823e-02,7.8030e-03,0.0000e+00,1.2350e-31,1.2350e-31,1.2350e-31,1.2350e-31,1.2350e-31,1.2350e-31
6.7753e-02,7.8030e-03,0.0000e+00,4.6911e-32,4.6911e-32,4.6911e-32,4.6911e-32,4.6911e-32,4.6911e-32
6.8697e-02,7.8030e-03,0.0000e+00,3.1679e-32,3.1679e-32,3.1679e-32,3.1679e-32,3.1679e-32,3.1679e-32
6.9654e-02,7.8030e-03,0.0000e+00,9.6270e-32,9.6270e-32,9.6270e-32,9.6270e-32,9.6270e-32,9.6270e-32
7.0624e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
7.1607e-02,7.8030e-03,0.0000e+00,4.9393e-32,4.9393e-32,4.9393e-32,4.9393e-32,4.9393e-32,4.9393e-32
7.2604e-02,7.8030e-03,0.0000e+00,1.6678e-32,1.6678e-32,1.6678e-32,1.6678e-32,1.6678e-32,1.6678e-32
7.3615e-02,7.8030e-03,0.0000e+00,1.6895e-32,1.6895e-32,1.6895e-32,1.6895e-32,1.6895e-32,1.6895e-32
7.4640e-02,7.8030e-03,0.0000e+00,1.7115e-32,1.7115e-32,1.7115e-32,1.7115e-32,1.7115e-32,1.7115e-32
7.5680e-02,7.8030e-03,0.0000e+00,1.7339e-32,1.7339e-32,1.7339e-32,1.7339e-32,1.7339e-32,1.7339e-32
7.6734e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
7.7802e-02,7.8030e-03,0.0000e+00,1.7794e-32,1.7794e-32,1.7794e-32,1.7794e-32,1.7794e-32,1.7794e-32
7.8886e-02,7.8030e-03,0.0000e+00,-1.8027e-32,-1.8027e-32,-1.8027e-32,-1.8027e-32,-1.8027e-32,-1.8027e-32
7.9984e-02,7.8030e-03,0.0000e+00,-1.8263e-32,-1.8263e-32,-1.8263e-32,-1.8263e-32,-1.8263e-32,-1.8263e-32
8.1098e-02,7.8030e-03,0.0000e+00,-1.8502e-32,-1.8502e-32,-1.8502e-32,-1.8502e-32,-1.8502e-32,-1.8502e-32
8.2227e-02,7.8030e-03,0.0000e+00,1.8744e-32,1.8744e-32,1.8744e-32,1.8744e-32,1.8744e-32,1.8744e-32
8.3372e-02,7.8030e-03,0.0000e+00,-3.7980e-32,-3.7980e-32,-3.7980e-32,-3.7980e-32,-3.7980e-32,-3.7980e-32
8.4533e-02,7.8030e-03,0.0000e+00,1.9239e-32,1.9239e-32,1.9239e-32,1.9239e-32,1.9239e-32,1.9239e-32
8.5710e-02,7.8030e-03,0.0000e+00,-1.9492e-32,-1.9492e-32,-1.9492e-32,-1.9492e-32,-1.9492e-32,-1.9492e-32
8.6904e-02,7.8030e-03,0.0000e+00,1.9748e-32,1.9748e-32,1.9748e-32,1.9748e-32,1.9748e-32,1.9748e-32
8.8114e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
8.9341e-02,7.8030e-03,0.0000e+00,-2.0271e-32,-2.0271e-32,-2.0271e-32,-2.0271e-32,-2.0271e-32,-2.0271e-32
9.0585e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.1847e-02,7.8030e-03,0.0000e+00,2.0809e-32,2.0809e-32,2.0809e-32,2.0809e-32,2.0809e-32,2.0809e-32
9.3126e-02,7.8030e-03,0.0000e+00,6.3251e-32,6.3251e-32,6.3251e-32,6.3251e-32,6.3251e-32,6.3251e-32
9.4423e-02,7.8030e-03,0.0000e+00,8.5448e-32,8.5448e-32,8.5448e-32,8.5448e-32,8.5448e-32,8.5448e-32
9.5737e-02,7.8030e-03,0.0000e+00,2.1644e-32,2.1644e-32,2.1644e-32,2.1644e-32,2.1644e-32,2.1644e-32
9.7071e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
9.8422e-02,7.8030e-03,0.0000e+00,-4.4441e-32,-4.4441e-32,-4.4441e-32,-4.4441e-32,-4.4441e-32,-4.4441e-32
9.9793e-02,7.8030e-03,0.0000e+00,-4.5030e-32,-4.5030e-32,-4.5030e-32,-4.5030e-32,-4.5030e-32,-4.5030e-32
