# x,Y(b1),Y(xd),D(b1)*(dsdx/3H),D(xd)*(dsdx/3H),C(b1xd_gb)*(dsdx/3H),C(b1xxdx_gbx)*(dsdx/3H),C(b1xd_ab)*(dsdx/3H),C(b1xxdx_abx)*(dsdx/3H),C(b1xd_bz)*(dsdx/3H),C(b1xxdx_bxz)*(dsdx/3H),C(b1xd_twm)*(dsdx/3H),C(b1xxdx_txwp)*(dsdx/3H),C(b1b1x_bbx)*(dsdx/3H),C(b1b1_bb)*(dsdx/3H),C(b1xb1x_bxbx)*(dsdx/3H),C(b1b1x_gg)*(dsdx/3H),C(b1b1x_wpwm)*(dsdx/3H),C(b1b1x_ga)*(dsdx/3H),C(b1b1x_gz)*(dsdx/3H),C(b1b1x_aa)*(dsdx/3H),C(b1b1x_az)*(dsdx/3H),C(b1b1x_ddx)*(dsdx/3H),C(b1b1x_uux)*(dsdx/3H),C(b1b1x_ssx)*(dsdx/3H),C(b1b1x_ccx)*(dsdx/3H),C(b1b1x_ttx)*(dsdx/3H),C(b1b1x_zz)*(dsdx/3H),C(b1b1x_emep)*(dsdx/3H),C(b1b1x_tamtap)*(dsdx/3H),C(b1b1x_vevex)*(dsdx/3H),C(b1b1x_zh)*(dsdx/3H),C(xdxdx_bbx)*(dsdx/3H),C(xdxdx_ttx)*(dsdx/3H),C(b1xd_gb)*(dsdx/3H),C(b1xxdx_gbx)*(dsdx/3H),C(b1xd_ab)*(dsdx/3H),C(b1xxdx_abx)*(dsdx/3H),C(b1xd_bz)*(dsdx/3H),C(b1xxdx_bxz)*(dsdx/3H),C(b1xd_twm)*(dsdx/3H),C(b1xxdx_txwp)*(dsdx/3H)
5.1000e-01,1.0528e-02,7.8030e-03,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
5.1891e-01,1.0459e-02,7.8030e-03,0.0000e+00,0.0000e+00,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-4.9967e+00,-3.2405e-04,-3.2405e-04,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02,-7.3847e-02
5.2797e-01,1.0389e-02,7.8030e-03,0.0000e+00,0.0000e+00,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,4.2533e+00,6.8375e-03,6.8375e-03,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02,7.7240e-02
5.3719e-01,1.0317e-02,7.8030e-03,0.0000e+00,0.0000e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,4.8516e+02,6.5902e-01,6.5902e-01,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00,8.6761e+00
5.4657e-01,1.0243e-02,7.8030e-03,0.0000e+00,0.0000e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-4.3807e+02,-6.1897e-01,-6.1897e-01,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00,-7.9845e+00
5.5611e-01,1.0168e-02,7.8030e-03,0.0000e+00,0.0000e+00,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-1.6088e+03,-2.3580e+00,-2.3580e+00,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01,-2.9876e+01
5.6583e-01,1.0091e-02,7.8030e-03,0.0000e+00,0.0000e+00,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.1927e+03,-2.5851e+00,-2.5851e+00,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01,-4.0016e+01
5.7571e-01,1.0013e-02,7.8030e-03,0.0000e+00,0.0000e+00,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,-2.0291e+03,7.6872e-01,7.6872e-01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01,-3.1388e+01
5.8576e-01,9.9331e-03,7.8030e-03,0.0000e+00,0.0000e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,-1.6353e+03,9.8718e+00,9.8718e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00,-7.9001e+00
5.9599e-01,9.8516e-03,7.8030e-03,0.0000e+00,0.0000e+00,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,-2.2083e+03,2.6995e+01,2.6995e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01,1.4602e+01
6.0640e-01,9.7684e-03,7.8030e-03,0.0000e+00,0.0000e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,-5.6261e+03,5.4515e+01,5.4515e+01,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00,7.2690e+00
6.1699e-01,9.6836e-03,7.8030e-03,0.0000e+00,0.0000e+00,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,-1.4447e+04,9.4917e+01,9.4917e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01,-7.2869e+01
6.2776e-01,9.5971e-03,7.8025e-03,0.0000e+00,0.0000e+00,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,-3.1759e+03,4.9336e+03,4.9336e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03,9.1137e+03
6.3873e-01,9.5090e-03,7.8035e-03,0.0000e+00,0.0000e+00,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,1.1238e+03,-5.1776e+03,-5.1776e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03,-9.5055e+03
6.4988e-01,9.4193e-03,7.8047e-03,0.0000e+00,0.0000e+00,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,1.4480e+03,-1.6776e+04,-1.6776e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04,-3.0517e+04
6.6123e-01,9.3279e-03,7.8046e-03,0.0000e+00,0.0000e+00,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,3.6115e+02,-1.5476e+04,-1.5476e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04,-2.7872e+04
6.7278e-01,9.2349e-03,7.8016e-03,0.0000e+00,0.0000e+00,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,-4.6988e+02,2.1887e+05,2.1887e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05,3.8956e+05
6.8453e-01,9.1402e-03,7.7940e-03,0.0000e+00,0.0000e+00,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,-2.6903e+02,3.9792e+04,3.9792e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04,7.0185e+04
6.9648e-01,9.0439e-03,7.7799e-03,0.0000e+00,0.0000e+00,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,8.5854e+02,-7.7991e+04,-7.7991e+04,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05,-1.3635e+05
7.0864e-01,8.9460e-03,7.7572e-03,0.0000e+00,0.0000e+00,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,1.9383e+03,-1.1765e+05,-1.1765e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05,-2.0393e+05
7.2102e-01,8.8465e-03,7.7235e-03,0.0000e+00,0.0000e+00,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,1.1411e+03,-6.2045e+04,-6.2045e+04,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05,-1.0669e+05
7.3361e-01,8.7454e-03,7.6881e-03,0.0000e+00,0.0000e+00,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,1.1764e+02,3.3601e+01,3.3601e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01,5.9746e+01
7.4642e-01,8.6428e-03,7.6587e-03,0.0000e+00,0.0000e+00,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,7.5174e+00,-4.3411e+01,-4.3411e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01,-7.3260e+01
7.5946e-01,8.5385e-03,7.6285e-03,0.0000e+00,0.0000e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-2.0246e+01,-5.0595e+00,-5.0595e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00,-8.9110e+00
7.7272e-01,8.4327e-03,7.5975e-03,0.0000e+00,0.0000e+00,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,1.9135e+01,-8.4033e+01,-8.4033e+01,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02,-1.3916e+02
7.8621e-01,8.3254e-03,7.5657e-03,0.0000e+00,0.0000e+00,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,9.6276e+02,-8.5342e+01,-8.5342e+01,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02,-1.1931e+02
7.9994e-01,8.2167e-03,7.5330e-03,0.0000e+00,0.0000e+00,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,-3.1715e+02,1.0850e+01,1.0850e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01,1.0612e+01
8.1391e-01,8.1064e-03,7.4996e-03,0.0000e+00,0.0000e+00,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,-2.5357e+03,5.4517e+01,5.4517e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01,3.0525e+01
8.2813e-01,7.9947e-03,7.4652e-03,0.0000e+00,0.0000e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,-3.7845e+03,5.8958e+01,5.8958e+01,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00,7.0235e+00
8.4259e-01,7.8817e-03,7.4300e-03,0.0000e+00,0.0000e+00,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,-3.2192e+03,3.6853e+01,3.6853e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01,-1.7114e+01
8.5730e-01,7.7672e-03,7.3939e-03,0.0000e+00,0.0000e+00,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,-1.0222e+03,1.7863e-01,1.7863e-01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01,-2.4072e+01
8.7227e-01,7.6514e-03,7.3569e-03,0.0000e+00,0.0000e+00,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,1.6382e+03,-3.9882e+01,-3.9882e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01,-2.2094e+01
8.8751e-01,7.5344e-03,7.3190e-03,0.0000e+00,0.0000e+00,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,2.6532e+03,-7.3035e+01,-7.3035e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01,-4.6537e+01
9.0301e-01,7.4161e-03,7.2802e-03,0.0000e+00,0.0000e+00,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-9.7764e+02,-8.9972e+01,-8.9972e+01,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02,-1.6086e+02
9.1878e-01,7.2966e-03,7.2404e-03,0.0000e+00,0.0000e+00,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-6.2268e+02,-2.8522e+01,-2.8522e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01,-5.8621e+01
